index,dose,year,fold
0,1pM,2014,train
1,1pM,2014,validate
2,1pM,2014,train
3,1pM,2014,train
4,1pM,2014,test
5,1pM,2014,test
6,1pM,2014,validate
7,1pM,2014,train
8,1pM,2014,train
9,1pM,2014,train
10,1pM,2014,train
11,1pM,2014,train
12,1pM,2014,train
13,1pM,2014,validate
14,1pM,2014,train
15,1pM,2014,train
16,1pM,2014,train
17,1pM,2014,train
18,1pM,2014,train
19,1pM,2014,train
20,1pM,2014,validate
21,1pM,2014,train
22,1pM,2014,train
23,1pM,2014,train
24,1pM,2014,validate
25,1pM,2014,train
26,1pM,2014,train
27,1pM,2014,train
28,1pM,2014,train
29,1pM,2014,train
30,1pM,2014,train
31,1pM,2014,validate
32,1pM,2014,train
33,1pM,2014,train
34,1pM,2014,train
35,1pM,2014,test
36,1pM,2014,train
37,1pM,2014,train
38,1pM,2014,train
39,1pM,2014,train
40,1pM,2014,train
41,1pM,2014,train
42,1pM,2014,train
43,1pM,2014,train
44,1pM,2014,train
45,1pM,2014,test
46,1pM,2014,train
47,1pM,2014,train
48,1pM,2014,validate
49,1pM,2014,train
50,1pM,2014,test
51,1pM,2014,validate
52,1pM,2014,train
53,1pM,2014,train
54,1pM,2014,train
55,1pM,2014,train
56,1pM,2014,train
57,1pM,2014,train
58,1pM,2014,validate
59,1pM,2014,train
60,1pM,2014,test
61,1pM,2014,train
62,1pM,2014,train
63,1pM,2014,train
64,1pM,2014,train
65,1pM,2014,train
66,1pM,2014,train
67,1pM,2014,validate
68,1pM,2014,train
69,1pM,2014,train
70,1pM,2014,train
71,1pM,2014,train
72,1pM,2014,train
73,1pM,2014,test
74,1pM,2014,train
75,1pM,2014,train
76,1pM,2014,train
77,1pM,2014,train
78,1pM,2014,validate
79,1pM,2014,test
80,1pM,2014,validate
81,1pM,2014,test
82,1pM,2014,test
83,1pM,2014,train
84,1pM,2014,test
85,1pM,2014,train
86,1pM,2014,validate
87,1pM,2014,train
88,1pM,2014,train
89,1pM,2014,train
90,1pM,2014,train
91,1pM,2014,train
92,1pM,2014,train
93,1pM,2014,train
94,1pM,2014,train
95,1pM,2014,train
96,1pM,2014,train
97,1pM,2014,train
98,1pM,2014,train
99,1pM,2014,train
100,1pM,2014,train
